ID,Score
01000147,Toán:   7.60   Ngữ văn:   8.50   Lịch sử:   7.00   Địa lí:   7.50   GDCD:   9.25   KHXH: 7.92   Tiếng Anh:   9.40   
01000148,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   7.50   Địa lí:   7.75   GDCD:   9.50   KHXH: 8.25   Tiếng Anh:   9.20   
01000149,Toán:   7.80   Ngữ văn:   8.75   Lịch sử:   4.25   Địa lí:   5.00   GDCD:   8.25   KHXH: 5.83   Tiếng Anh:   8.40   
01000150,Toán:   8.00   Ngữ văn:   6.25   Vật lí:   8.75   Hóa học:   6.75   Sinh học:   8.25   KHTN: 7.92   Tiếng Anh:   9.20   
01000151,Toán:   8.40   Ngữ văn:   9.25   Lịch sử:   7.50   Địa lí:   8.50   GDCD:  10.00   KHXH: 8.67   Tiếng Anh:   9.20   
01000152,Toán:   8.40   Ngữ văn:   7.25   Vật lí:   7.50   Hóa học:   5.75   Sinh học:   5.25   KHTN: 6.17   Tiếng Anh:   9.00   
01000153,Toán:   7.80   Ngữ văn:   9.00   Lịch sử:   6.75   Địa lí:   6.00   GDCD:   7.50   KHXH: 6.75   Tiếng Anh:   8.00   
01000154,Toán:   7.60   Ngữ văn:   7.50   Vật lí:   8.00   Hóa học:   5.25   Sinh học:   3.75   KHTN: 5.67   Tiếng Anh:   9.00   
01000155,Toán:   6.60   Ngữ văn:   8.00   Lịch sử:   6.75   Địa lí:   6.00   GDCD:   8.50   KHXH: 7.08   Tiếng Anh:   9.00   
01000156,Toán:   8.00   Ngữ văn:   7.25   Vật lí:   6.50   Hóa học:   5.75   Sinh học:   6.25   KHTN: 6.17   Tiếng Anh:   7.80   
01000157,Toán:   8.80   Ngữ văn:   6.75   Lịch sử:   6.00   Địa lí:   8.00   GDCD:   8.50   KHXH: 7.5   
01000158,Toán:   4.40   Ngữ văn:   7.00   Lịch sử:   4.25   Địa lí:   4.75   GDCD:   7.25   KHXH: 5.42   Tiếng Anh:   3.20   
01000159,Toán:   8.00   Ngữ văn:   8.00   Lịch sử:   7.75   Địa lí:   7.75   GDCD:   8.00   KHXH: 7.83   Tiếng Anh:   9.40   
01000160,Toán:   7.80   Ngữ văn:   7.00   Vật lí:   9.00   Hóa học:   9.50   Sinh học:   6.50   KHTN: 8.33   Tiếng Anh:   8.00   
01000161,Toán:   7.60   Ngữ văn:   9.25   Lịch sử:   7.25   Địa lí:   7.25   GDCD:   9.25   KHXH: 7.92   Tiếng Anh:   8.60   
01000162,Toán:   7.40   Ngữ văn:   8.25   Lịch sử:   3.75   Địa lí:   4.50   GDCD:   8.00   KHXH: 5.42   Tiếng Anh:   7.60   
01000163,Toán:   8.00   Ngữ văn:   9.50   Lịch sử:   7.75   Địa lí:   7.00   GDCD:   9.00   KHXH: 7.92   Tiếng Anh:   9.20   
01000164,Toán:   8.40   Ngữ văn:   8.75   Lịch sử:   8.00   Địa lí:   7.00   GDCD:   9.25   KHXH: 8.08   Tiếng Anh:   9.60   
01000165,Toán:   7.80   Ngữ văn:   9.25   Lịch sử:   7.75   Địa lí:   7.50   GDCD:   9.00   KHXH: 8.08   Tiếng Anh:   9.20   
01000166,Toán:   4.20   Ngữ văn:   6.75   Lịch sử:   4.25   Địa lí:   6.00   GDCD:   7.25   KHXH: 5.83   Tiếng Anh:   6.40   
01000167,Toán:   6.00   Ngữ văn:   8.25   Lịch sử:   5.25   Địa lí:   5.50   GDCD:   8.25   KHXH: 6.33   Tiếng Anh:   8.00   
